Cuenca;Estación;Fecha;Hora;Temperatura (°C);Temp Punto Rocio
84;193;03/08/2008;1600;25.3;-9.0
84;193;03/08/2008;1700;24.8;-9.0
84;193;03/08/2008;1800;24.3;-9.0
84;193;03/08/2008;1900;23.9;-9.0
84;193;03/08/2008;2000;23.6;-9.0
84;193;03/08/2008;2100;23.2;-9.0
84;193;03/08/2008;2200;22.9;-9.0
84;193;03/08/2008;2300;22.6;-9.0
84;193;03/08/2008;2400;22.3;-9.0
84;193;04/08/2008;100;22.1;-9.0
84;193;04/08/2008;200;21.9;-9.0
84;193;04/08/2008;300;21.7;-9.0
84;193;04/08/2008;400;21.5;-9.0
84;193;04/08/2008;500;21.4;-9.0
84;193;04/08/2008;600;21.2;-9.0
84;193;04/08/2008;700;21.2;-9.0
84;193;04/08/2008;800;22.4;-9.0
84;193;04/08/2008;900;25.0;-9.0
84;193;04/08/2008;1000;26.9;-9.0
84;193;04/08/2008;1100;24.1;-9.0
84;193;04/08/2008;1200;22.9;-9.0
84;193;04/08/2008;1300;21.5;-9.0
84;193;04/08/2008;1400;23.7;-9.0
84;193;04/08/2008;1500;24.4;-9.0
84;193;04/08/2008;1600;24.8;-9.0
84;193;04/08/2008;1700;24.2;-9.0
84;193;04/08/2008;1800;23.8;-9.0
84;193;04/08/2008;1900;23.5;-9.0
84;193;04/08/2008;2000;23.1;-9.0
84;193;04/08/2008;2100;22.8;-9.0
84;193;04/08/2008;2200;22.4;-9.0
84;193;04/08/2008;2300;22.2;-9.0
84;193;04/08/2008;2400;21.9;-9.0
84;193;05/08/2008;100;21.7;-9.0
84;193;05/08/2008;200;21.7;-9.0
84;193;05/08/2008;300;21.6;-9.0
84;193;05/08/2008;400;21.4;-9.0
84;193;05/08/2008;500;21.4;-9.0
84;193;05/08/2008;600;21.2;-9.0
84;193;05/08/2008;700;21.3;-9.0
84;193;05/08/2008;800;22.1;-9.0
84;193;05/08/2008;900;22.8;-9.0
84;193;05/08/2008;1000;23.7;-9.0
84;193;05/08/2008;1100;24.9;-9.0
84;193;05/08/2008;1200;22.9;-9.0
84;193;05/08/2008;1300;24.8;-9.0
84;193;05/08/2008;1400;25.0;-9.0
84;193;05/08/2008;1500;22.0;-9.0
84;193;05/08/2008;1600;24.8;-9.0
84;193;05/08/2008;1700;24.7;-9.0
84;193;05/08/2008;1800;23.9;-9.0
84;193;05/08/2008;1900;23.4;-9.0
84;193;05/08/2008;2000;22.9;-9.0
84;193;05/08/2008;2100;22.6;-9.0
84;193;05/08/2008;2200;22.3;-9.0
84;193;05/08/2008;2300;22.0;-9.0
84;193;05/08/2008;2400;21.8;-9.0
84;193;06/08/2008;100;21.5;-9.0
84;193;06/08/2008;200;21.4;-9.0
84;193;06/08/2008;300;21.3;-9.0
84;193;06/08/2008;400;21.1;-9.0
84;193;06/08/2008;500;20.9;-9.0
84;193;06/08/2008;600;20.9;-9.0
84;193;06/08/2008;700;20.9;-9.0
84;193;06/08/2008;800;21.8;-9.0
84;193;06/08/2008;900;22.8;-9.0
84;193;06/08/2008;1000;24.6;-9.0
84;193;06/08/2008;1100;25.2;-9.0
84;193;06/08/2008;1200;22.2;-9.0
84;193;06/08/2008;1300;22.4;-9.0
84;193;06/08/2008;1400;22.8;-9.0
84;193;06/08/2008;1500;22.7;-9.0
84;193;06/08/2008;1600;23.8;-9.0
84;193;06/08/2008;1700;25.0;-9.0
84;193;06/08/2008;1800;24.5;-9.0
84;193;06/08/2008;1900;24.1;-9.0
84;193;06/08/2008;2000;23.9;-9.0
84;193;06/08/2008;2100;23.6;-9.0
84;193;06/08/2008;2200;23.4;-9.0
84;193;06/08/2008;2300;23.1;-9.0
84;193;06/08/2008;2400;22.9;-9.0
84;193;07/08/2008;100;22.6;-9.0
84;193;07/08/2008;200;22.2;-9.0
84;193;07/08/2008;300;21.8;-9.0
84;193;07/08/2008;400;21.5;-9.0
84;193;07/08/2008;500;21.3;-9.0
84;193;07/08/2008;600;21.3;-9.0
84;193;07/08/2008;700;21.2;-9.0
84;193;07/08/2008;800;21.5;-9.0
84;193;07/08/2008;900;21.9;-9.0
84;193;07/08/2008;1000;22.0;-9.0
84;193;07/08/2008;1100;22.8;-9.0
84;193;07/08/2008;1200;23.8;-9.0
84;193;07/08/2008;1300;25.2;-9.0
84;193;07/08/2008;1400;25.8;-9.0
84;193;07/08/2008;1500;25.3;-9.0
84;193;07/08/2008;1600;25.1;-9.0
84;193;07/08/2008;1700;24.6;-9.0
84;193;07/08/2008;1800;24.1;-9.0
84;193;07/08/2008;1900;23.7;-9.0
84;193;07/08/2008;2000;23.2;-9.0
84;193;07/08/2008;2100;22.9;-9.0
84;193;07/08/2008;2200;22.5;-9.0
84;193;07/08/2008;2300;22.2;-9.0
84;193;07/08/2008;2400;22.0;-9.0
84;193;08/08/2008;100;21.8;-9.0
84;193;08/08/2008;200;21.6;-9.0
84;193;08/08/2008;300;21.4;-9.0
84;193;08/08/2008;400;21.2;-9.0
84;193;08/08/2008;500;21.1;-9.0
84;193;08/08/2008;600;21.0;-9.0
84;193;08/08/2008;700;21.0;-9.0
84;193;08/08/2008;800;22.1;-9.0
84;193;08/08/2008;900;23.7;-9.0
84;193;08/08/2008;1000;23.1;-9.0
84;193;08/08/2008;1100;22.4;-9.0
84;193;08/08/2008;1200;26.2;-9.0
84;193;08/08/2008;1300;25.3;-9.0
84;193;08/08/2008;1400;27.4;-9.0
84;193;08/08/2008;1500;27.8;-9.0
84;193;08/08/2008;1600;26.5;-9.0
84;193;08/08/2008;1700;24.2;-9.0
84;193;08/08/2008;1800;26.1;-9.0
84;193;08/08/2008;1900;25.7;-9.0
84;193;08/08/2008;2000;25.2;-9.0
84;193;08/08/2008;2100;24.8;-9.0
84;193;08/08/2008;2200;24.4;-9.0
84;193;08/08/2008;2300;24.1;-9.0
84;193;08/08/2008;2400;23.9;-9.0
84;193;09/08/2008;100;23.6;-9.0
84;193;09/08/2008;200;23.3;-9.0
84;193;09/08/2008;300;23.1;-9.0
84;193;09/08/2008;400;22.8;-9.0
84;193;09/08/2008;500;22.6;-9.0
84;193;09/08/2008;600;22.3;-9.0
84;193;09/08/2008;700;22.2;-9.0
84;193;09/08/2008;800;22.5;-9.0
84;193;09/08/2008;900;23.1;-9.0
84;193;09/08/2008;1000;23.7;-9.0
84;193;09/08/2008;1100;24.2;-9.0
84;193;09/08/2008;1200;25.1;-9.0
84;193;09/08/2008;1300;25.7;-9.0
84;193;09/08/2008;1400;25.7;-9.0
84;193;09/08/2008;1500;24.8;-9.0
84;193;09/08/2008;1600;24.5;-9.0
84;193;09/08/2008;1700;24.1;-9.0
84;193;09/08/2008;1800;23.6;-9.0
84;193;09/08/2008;1900;23.2;-9.0
84;193;09/08/2008;2000;22.9;-9.0
84;193;09/08/2008;2100;22.7;-9.0
84;193;09/08/2008;2200;22.4;-9.0
84;193;09/08/2008;2300;22.2;-9.0
84;193;09/08/2008;2400;21.9;-9.0
84;193;10/08/2008;100;21.8;-9.0
84;193;10/08/2008;200;21.6;-9.0
84;193;10/08/2008;300;21.4;-9.0
84;193;10/08/2008;400;21.3;-9.0
84;193;10/08/2008;500;21.2;-9.0
84;193;10/08/2008;600;21.0;-9.0
84;193;10/08/2008;700;21.0;-9.0
84;193;10/08/2008;800;21.3;-9.0
84;193;10/08/2008;900;21.7;-9.0
84;193;10/08/2008;1000;22.1;-9.0
84;193;10/08/2008;1100;22.7;-9.0
84;193;10/08/2008;1200;23.8;-9.0
84;193;10/08/2008;1300;25.0;-9.0
84;193;10/08/2008;1400;25.7;-9.0
84;193;10/08/2008;1500;26.3;-9.0
84;193;10/08/2008;1600;26.5;-9.0
84;193;10/08/2008;1700;26.4;-9.0
84;193;10/08/2008;1800;25.9;-9.0
84;193;10/08/2008;1900;25.3;-9.0
84;193;10/08/2008;2000;24.8;-9.0
84;193;10/08/2008;2100;24.3;-9.0
84;193;10/08/2008;2200;23.8;-9.0
84;193;10/08/2008;2300;23.4;-9.0
84;193;10/08/2008;2400;23.1;-9.0
84;193;11/08/2008;100;22.6;-9.0
84;193;11/08/2008;200;22.3;-9.0
84;193;11/08/2008;300;21.8;-9.0
84;193;11/08/2008;400;21.5;-9.0
84;193;11/08/2008;500;21.2;-9.0
84;193;11/08/2008;600;21.2;-9.0
84;193;11/08/2008;700;21.2;-9.0
84;193;11/08/2008;800;21.2;-9.0
84;193;11/08/2008;900;21.4;-9.0
84;193;11/08/2008;1100;25.6;-9.0
84;193;11/08/2008;1200;24.4;-9.0
84;193;11/08/2008;1300;21.5;-9.0
84;193;11/08/2008;1400;21.8;-9.0
84;193;11/08/2008;1500;23.0;-9.0
84;193;11/08/2008;1600;25.4;-9.0
84;193;11/08/2008;1700;25.5;-9.0
84;193;11/08/2008;1800;25.3;-9.0
84;193;11/08/2008;1900;24.1;-9.0
84;193;11/08/2008;2000;23.3;-9.0
84;193;11/08/2008;2100;22.7;-9.0
84;193;11/08/2008;2200;22.3;-9.0
84;193;11/08/2008;2300;22.0;-9.0
84;193;11/08/2008;2400;21.7;-9.0
84;193;12/08/2008;100;21.5;-9.0
84;193;12/08/2008;200;21.2;-9.0
84;193;12/08/2008;300;21.1;-9.0
84;193;12/08/2008;400;21.1;-9.0
84;193;12/08/2008;500;21.0;-9.0
84;193;12/08/2008;600;20.7;-9.0
84;193;12/08/2008;700;20.7;-9.0
84;193;12/08/2008;1200;22.9;-9.0
84;193;12/08/2008;1400;22.2;-9.0
84;193;12/08/2008;1500;20.7;-9.0
84;193;12/08/2008;1600;19.5;-9.0
84;193;12/08/2008;1700;19.4;-9.0
84;193;12/08/2008;1800;19.4;-9.0
84;193;12/08/2008;1900;19.4;-9.0
84;193;12/08/2008;2000;18.7;-9.0
84;193;12/08/2008;2100;18.9;-9.0
84;193;12/08/2008;2200;18.9;-9.0
84;193;12/08/2008;2300;19.0;-9.0
84;193;12/08/2008;2400;19.2;-9.0
84;193;13/08/2008;100;19.2;-9.0
84;193;13/08/2008;200;19.3;-9.0
84;193;13/08/2008;300;19.6;-9.0
84;193;13/08/2008;400;19.3;-9.0
84;193;13/08/2008;500;18.4;-9.0
84;193;13/08/2008;600;17.7;-9.0
84;193;13/08/2008;700;19.2;-9.0
84;193;13/08/2008;800;22.4;-9.0
84;193;13/08/2008;900;24.9;-9.0
84;193;13/08/2008;1000;24.9;-9.0
84;193;13/08/2008;1100;25.1;-9.0
84;193;13/08/2008;1200;26.1;-9.0
84;193;13/08/2008;1300;25.8;-9.0
84;193;13/08/2008;1400;24.0;-9.0
84;193;13/08/2008;1500;19.3;-9.0
84;193;13/08/2008;1600;19.4;-9.0
84;193;13/08/2008;1700;19.6;-9.0
84;193;13/08/2008;1800;19.8;-9.0
84;193;13/08/2008;1900;19.5;-9.0
84;193;13/08/2008;2000;19.4;-9.0
84;193;13/08/2008;2100;19.7;-9.0
84;193;13/08/2008;2200;19.6;-9.0
84;193;13/08/2008;2300;19.2;-9.0
84;193;13/08/2008;2400;18.6;-9.0
84;193;14/08/2008;100;19.4;-9.0
84;193;14/08/2008;200;19.3;-9.0
84;193;14/08/2008;300;19.5;-9.0
84;193;14/08/2008;400;18.9;-9.0
84;193;14/08/2008;500;17.9;-9.0
84;193;14/08/2008;600;18.8;-9.0
84;193;14/08/2008;700;20.2;-9.0
84;193;14/08/2008;800;22.7;-9.0
84;193;14/08/2008;900;24.7;-9.0
84;193;14/08/2008;1000;26.1;-9.0
84;193;14/08/2008;1100;26.7;-9.0
84;193;14/08/2008;1200;26.0;-9.0
84;193;14/08/2008;1300;26.4;-9.0
84;193;14/08/2008;1400;26.2;-9.0
84;193;14/08/2008;1500;26.1;-9.0
84;193;14/08/2008;1600;23.8;-9.0
84;193;14/08/2008;1700;22.0;-9.0
84;193;14/08/2008;1800;21.3;-9.0
84;193;14/08/2008;1900;20.8;-9.0
84;193;14/08/2008;2000;20.9;-9.0
84;193;14/08/2008;2100;21.1;-9.0
84;193;14/08/2008;2200;21.0;-9.0
84;193;14/08/2008;2300;20.3;-9.0
84;193;14/08/2008;2400;20.0;-9.0
84;193;15/08/2008;100;19.6;-9.0
84;193;15/08/2008;200;19.3;-9.0
84;193;15/08/2008;300;18.5;-9.0
84;193;15/08/2008;400;18.5;-9.0
84;193;15/08/2008;500;19.1;-9.0
84;193;15/08/2008;600;19.1;-9.0
84;193;15/08/2008;700;20.4;-9.0
84;193;15/08/2008;800;22.3;-9.0
84;193;15/08/2008;900;24.1;-9.0
84;193;15/08/2008;1000;25.7;-9.0
84;193;15/08/2008;1100;26.8;-9.0
84;193;15/08/2008;1200;28.0;-9.0
84;193;15/08/2008;1300;26.6;-9.0
84;193;15/08/2008;1400;26.4;-9.0
84;193;15/08/2008;1500;22.2;-9.0
84;193;15/08/2008;1600;19.7;-9.0
84;193;15/08/2008;1700;19.9;-9.0
84;193;15/08/2008;1800;19.6;-9.0
84;193;15/08/2008;1900;19.2;-9.0
84;193;15/08/2008;2000;19.5;-9.0
84;193;15/08/2008;2100;19.8;-9.0
84;193;15/08/2008;2200;19.5;-9.0
84;193;15/08/2008;2300;18.9;-9.0
84;193;15/08/2008;2400;19.1;-9.0
84;193;16/08/2008;100;18.6;-9.0
84;193;16/08/2008;200;17.9;-9.0
84;193;16/08/2008;300;17.4;-9.0
84;193;16/08/2008;400;16.9;-9.0
84;193;16/08/2008;500;16.7;-9.0
84;193;16/08/2008;600;16.9;-9.0
84;193;16/08/2008;700;18.3;-9.0
84;193;16/08/2008;800;21.2;-9.0
84;193;16/08/2008;900;23.5;-9.0
84;193;16/08/2008;1000;24.9;-9.0
84;193;16/08/2008;1100;26.6;-9.0
84;193;16/08/2008;1200;26.5;-9.0
84;193;16/08/2008;1300;26.4;-9.0
84;193;16/08/2008;1400;24.2;-9.0
84;193;16/08/2008;1500;21.2;-9.0
84;193;16/08/2008;1600;20.3;-9.0
84;193;16/08/2008;1700;20.2;-9.0
84;193;16/08/2008;1800;19.9;-9.0
84;193;16/08/2008;1900;19.5;-9.0
84;193;16/08/2008;2000;19.5;-9.0
84;193;16/08/2008;2100;19.3;-9.0
84;193;16/08/2008;2200;19.4;-9.0
84;193;16/08/2008;2300;19.4;-9.0
84;193;16/08/2008;2400;19.4;-9.0
84;193;17/08/2008;100;19.3;-9.0
84;193;17/08/2008;200;19.1;-9.0
84;193;17/08/2008;300;19.0;-9.0
84;193;17/08/2008;400;19.0;-9.0
84;193;17/08/2008;500;18.8;-9.0
84;193;17/08/2008;600;18.2;-9.0
84;193;17/08/2008;700;19.2;-9.0
84;193;17/08/2008;800;21.4;-9.0
84;193;17/08/2008;900;21.2;-9.0
84;193;17/08/2008;1000;22.5;-9.0
84;193;17/08/2008;1100;23.5;-9.0
84;193;17/08/2008;1200;23.6;-9.0
84;193;17/08/2008;1300;22.4;-9.0
84;193;17/08/2008;1400;20.2;-9.0
84;193;17/08/2008;1500;20.9;-9.0
84;193;17/08/2008;1600;20.2;-9.0
84;193;17/08/2008;1700;19.2;-9.0
84;193;17/08/2008;1800;18.6;-9.0
84;193;17/08/2008;1900;18.7;-9.0
84;193;17/08/2008;2000;18.6;-9.0
84;193;17/08/2008;2100;18.7;-9.0
84;193;17/08/2008;2200;18.7;-9.0
84;193;17/08/2008;2300;18.8;-9.0
84;193;17/08/2008;2400;18.7;-9.0
84;193;18/08/2008;100;18.6;-9.0
84;193;18/08/2008;200;18.5;-9.0
84;193;18/08/2008;300;18.6;-9.0
84;193;18/08/2008;400;18.6;-9.0
84;193;18/08/2008;500;18.0;-9.0
84;193;18/08/2008;600;17.5;-9.0
84;193;18/08/2008;700;18.9;-9.0
84;193;18/08/2008;800;21.9;-9.0
84;193;18/08/2008;900;24.0;-9.0
84;193;18/08/2008;1000;25.6;-9.0
84;193;18/08/2008;1100;24.6;-9.0
84;193;18/08/2008;1200;23.9;-9.0
84;193;18/08/2008;1300;23.8;-9.0
84;193;18/08/2008;1400;21.3;-9.0
84;193;18/08/2008;1500;21.1;-9.0
84;193;18/08/2008;1600;20.4;-9.0
84;193;18/08/2008;1700;19.2;-9.0
84;193;18/08/2008;1800;19.3;-9.0
84;193;18/08/2008;1900;19.0;-9.0
84;193;18/08/2008;2000;18.7;-9.0
84;193;18/08/2008;2100;18.9;-9.0
84;193;18/08/2008;2200;19.0;-9.0
84;193;18/08/2008;2300;18.5;-9.0
84;193;18/08/2008;2400;17.9;-9.0
84;193;19/08/2008;100;17.5;-9.0
84;193;19/08/2008;200;17.2;-9.0
84;193;19/08/2008;300;16.9;-9.0
84;193;19/08/2008;400;16.8;-9.0
84;193;19/08/2008;500;16.7;-9.0
84;193;19/08/2008;600;16.4;-9.0
84;193;19/08/2008;700;18.4;-9.0
84;193;19/08/2008;800;20.4;-9.0
84;193;19/08/2008;900;22.2;-9.0
84;193;19/08/2008;1000;23.8;-9.0
84;193;19/08/2008;1100;25.7;-9.0
84;193;19/08/2008;1200;24.5;-9.0
84;193;19/08/2008;1300;23.7;-9.0
84;193;19/08/2008;1400;23.3;-9.0
84;193;19/08/2008;1500;22.4;-9.0
84;193;19/08/2008;1600;20.5;-9.0
84;193;19/08/2008;1700;20.0;-9.0
84;193;19/08/2008;1800;20.0;-9.0
84;193;19/08/2008;1900;19.8;-9.0
84;193;19/08/2008;2000;19.5;-9.0
84;193;19/08/2008;2100;19.4;-9.0
84;193;19/08/2008;2200;19.5;-9.0
84;193;19/08/2008;2300;19.5;-9.0
84;193;19/08/2008;2400;19.3;-9.0
84;193;20/08/2008;100;19.0;-9.0
84;193;20/08/2008;200;18.9;-9.0
84;193;20/08/2008;300;18.4;-9.0
84;193;20/08/2008;400;18.1;-9.0
84;193;20/08/2008;500;17.9;-9.0
84;193;20/08/2008;600;17.7;-9.0
84;193;20/08/2008;700;19.7;-9.0
84;193;20/08/2008;800;22.1;-9.0
84;193;20/08/2008;900;24.2;-9.0
84;193;20/08/2008;1000;25.6;-9.0
84;193;20/08/2008;1100;25.9;-9.0
84;193;20/08/2008;1200;26.4;-9.0
84;193;20/08/2008;1300;26.8;-9.0
84;193;20/08/2008;1400;24.5;-9.0
84;193;20/08/2008;1500;23.1;-9.0
84;193;20/08/2008;1600;22.2;-9.0
84;193;20/08/2008;1700;21.5;-9.0
84;193;20/08/2008;1800;20.5;-9.0
84;193;20/08/2008;1900;19.7;-9.0
84;193;20/08/2008;2000;19.7;-9.0
84;193;20/08/2008;2100;19.8;-9.0
84;193;20/08/2008;2200;19.7;-9.0
84;193;20/08/2008;2300;19.6;-9.0
84;193;20/08/2008;2400;19.5;-9.0
84;193;21/08/2008;100;19.3;-9.0
84;193;21/08/2008;200;19.2;-9.0
84;193;21/08/2008;300;18.5;-9.0
84;193;21/08/2008;400;17.7;-9.0
84;193;21/08/2008;500;17.6;-9.0
84;193;21/08/2008;600;18.9;-9.0
84;193;21/08/2008;700;20.9;-9.0
84;193;21/08/2008;800;23.3;-9.0
84;193;21/08/2008;900;24.8;-9.0
84;193;21/08/2008;1000;25.9;-9.0
84;193;21/08/2008;1100;26.7;-9.0
84;193;21/08/2008;1200;26.4;-9.0
84;193;21/08/2008;1300;27.6;-9.0
84;193;21/08/2008;1400;26.0;-9.0
84;193;21/08/2008;1500;24.7;-9.0
84;193;21/08/2008;1600;22.4;-9.0
84;193;21/08/2008;1700;20.8;-9.0
84;193;21/08/2008;1800;19.9;-9.0
84;193;21/08/2008;1900;19.5;-9.0
84;193;21/08/2008;2000;19.2;-9.0
84;193;21/08/2008;2100;20.6;-9.0
84;193;21/08/2008;2200;20.9;-9.0
84;193;21/08/2008;2300;20.7;-9.0
84;193;21/08/2008;2400;20.4;-9.0
84;193;22/08/2008;100;19.9;-9.0
84;193;22/08/2008;200;19.9;-9.0
84;193;22/08/2008;300;20.0;-9.0
84;193;22/08/2008;400;20.4;-9.0
84;193;22/08/2008;500;19.6;-9.0
84;193;22/08/2008;600;19.2;-9.0
84;193;22/08/2008;700;21.3;-9.0
84;193;22/08/2008;800;23.6;-9.0
84;193;22/08/2008;900;24.8;-9.0
84;193;22/08/2008;1000;24.9;-9.0
84;193;22/08/2008;1100;23.8;-9.0
84;193;22/08/2008;1200;24.2;-9.0
84;193;22/08/2008;1300;24.4;-9.0
84;193;22/08/2008;1400;25.0;-9.0
84;193;22/08/2008;1500;25.0;-9.0
84;193;22/08/2008;1600;24.5;-9.0
84;193;22/08/2008;1700;23.0;-9.0
84;193;22/08/2008;1800;20.2;-9.0
84;193;22/08/2008;1900;19.5;-9.0
84;193;22/08/2008;2000;19.7;-9.0
84;193;22/08/2008;2100;20.5;-9.0
84;193;22/08/2008;2200;20.0;-9.0
84;193;22/08/2008;2300;19.8;-9.0
84;193;22/08/2008;2400;19.4;-9.0
84;193;23/08/2008;100;19.5;-9.0
84;193;23/08/2008;200;19.3;-9.0
84;193;23/08/2008;300;19.4;-9.0
84;193;23/08/2008;400;18.9;-9.0
84;193;23/08/2008;500;17.7;-9.0
84;193;23/08/2008;600;17.8;-9.0
84;193;23/08/2008;700;20.9;-9.0
84;193;23/08/2008;800;22.0;-9.0
84;193;23/08/2008;900;23.3;-9.0
84;193;23/08/2008;1000;24.3;-9.0
84;193;23/08/2008;1100;25.2;-9.0
84;193;23/08/2008;1200;26.4;-9.0
84;193;23/08/2008;1300;23.7;-9.0
84;193;23/08/2008;1400;21.7;-9.0
84;193;23/08/2008;1500;20.8;-9.0
84;193;23/08/2008;1600;20.3;-9.0
84;193;23/08/2008;1700;19.6;-9.0
84;193;23/08/2008;1800;19.6;-9.0
84;193;23/08/2008;1900;20.0;-9.0
84;193;23/08/2008;2000;20.0;-9.0
84;193;23/08/2008;2100;20.1;-9.0
84;193;23/08/2008;2200;19.1;-9.0
84;193;23/08/2008;2300;19.0;-9.0
84;193;23/08/2008;2400;19.2;-9.0
84;193;24/08/2008;100;18.9;-9.0
84;193;24/08/2008;200;18.9;-9.0
84;193;24/08/2008;300;18.8;-9.0
84;193;24/08/2008;400;18.4;-9.0
84;193;24/08/2008;500;18.4;-9.0
84;193;24/08/2008;600;18.7;-9.0
84;193;24/08/2008;700;19.5;-9.0
84;193;24/08/2008;800;22.5;-9.0
84;193;24/08/2008;900;24.5;-9.0
84;193;24/08/2008;1000;26.1;-9.0
84;193;24/08/2008;1100;26.2;-9.0
84;193;24/08/2008;1200;26.1;-9.0
84;193;24/08/2008;1300;25.7;-9.0
84;193;24/08/2008;1400;25.4;-9.0
84;193;24/08/2008;1500;23.8;-9.0
84;193;24/08/2008;1600;22.0;-9.0
84;193;24/08/2008;1700;20.8;-9.0
84;193;24/08/2008;1800;20.2;-9.0
84;193;24/08/2008;1900;20.1;-9.0
84;193;24/08/2008;2000;20.1;-9.0
84;193;24/08/2008;2100;20.0;-9.0
84;193;24/08/2008;2200;19.8;-9.0
84;193;24/08/2008;2300;19.5;-9.0
84;193;24/08/2008;2400;19.5;-9.0
84;193;25/08/2008;100;19.5;-9.0
84;193;25/08/2008;200;19.4;-9.0
84;193;25/08/2008;300;19.3;-9.0
84;193;25/08/2008;400;19.2;-9.0
84;193;25/08/2008;500;19.2;-9.0
84;193;25/08/2008;600;19.0;-9.0
84;193;25/08/2008;700;19.7;-9.0
84;193;25/08/2008;800;22.2;-9.0
84;193;25/08/2008;900;23.5;-9.0
84;193;25/08/2008;1000;24.0;-9.0
84;193;25/08/2008;1100;24.7;-9.0
84;193;25/08/2008;1200;25.2;-9.0
84;193;25/08/2008;1300;25.5;-9.0
84;193;25/08/2008;1400;24.7;-9.0
84;193;25/08/2008;1500;24.0;-9.0
84;193;25/08/2008;1600;21.5;-9.0
84;193;25/08/2008;1700;20.1;-9.0
84;193;25/08/2008;1800;19.3;-9.0
84;193;25/08/2008;1900;19.3;-9.0
84;193;25/08/2008;2000;18.9;-9.0
84;193;25/08/2008;2100;18.8;-9.0
84;193;25/08/2008;2200;18.5;-9.0
84;193;25/08/2008;2300;18.5;-9.0
84;193;25/08/2008;2400;18.6;-9.0
84;193;26/08/2008;100;18.7;-9.0
84;193;26/08/2008;200;18.5;-9.0
84;193;26/08/2008;300;18.2;-9.0
84;193;26/08/2008;400;17.8;-9.0
84;193;26/08/2008;500;17.6;-9.0
84;193;26/08/2008;600;17.4;-9.0
84;193;26/08/2008;700;18.7;-9.0
84;193;26/08/2008;800;21.2;-9.0
84;193;26/08/2008;900;23.3;-9.0
84;193;26/08/2008;1000;24.1;-9.0
84;193;26/08/2008;1100;24.1;-9.0
84;193;26/08/2008;1200;25.0;-9.0
84;193;26/08/2008;1300;25.8;-9.0
84;193;26/08/2008;1400;24.9;-9.0
84;193;26/08/2008;1500;23.6;-9.0
84;193;26/08/2008;1600;21.3;-9.0
84;193;26/08/2008;1700;21.0;-9.0
84;193;26/08/2008;1800;20.0;-9.0
84;193;26/08/2008;1900;19.8;-9.0
84;193;26/08/2008;2000;19.6;-9.0
84;193;26/08/2008;2100;19.4;-9.0
84;193;26/08/2008;2200;19.3;-9.0
84;193;26/08/2008;2300;19.3;-9.0
84;193;26/08/2008;2400;19.3;-9.0
84;193;27/08/2008;100;19.1;-9.0
84;193;27/08/2008;200;19.2;-9.0
84;193;27/08/2008;300;19.3;-9.0
84;193;27/08/2008;400;19.3;-9.0
84;193;27/08/2008;500;19.3;-9.0
84;193;27/08/2008;600;18.8;-9.0
84;193;27/08/2008;700;19.4;-9.0
84;193;27/08/2008;800;21.1;-9.0
